PRODUCT_ID,product.name,category
25891101,,
25891102,AM Milk 250,Dairy
25891103,AM Milk 100,Dairy
25891201,AM Butter 100,Dairy
25891202,AM Butter 250,Dairy
25891203,,Dairy
25891301,Am Ghee 250,Dairy
25891302,AM Ghee 150,Dairy
25891303,AM Ghee 100,Dairy
25891401,AM Curd 250,Dairy
25891402,AM Curd 100,  Dairy
25891403,  AM Curd 50  ,  Dairy
25891501,AM Biscuits 750,Food
25891502,,Food
25891503,AM Biscuits 250,Food
25891601,AM Tea 500,beverages
25891602,AM Tea 250,beverages#@$
25891603,AM Tea 100,beverages
